instrument_name,date,expiry,strike,option_type,spot,bid_price,ask_price,mark_price,mark_iv,price_btc,price_usd,open_interest,volume_24h,time_to_expiry,iv,delta
BTC-25SEP26-130000-P,2026-01-18 06:52:17.242957,2026-09-25,130000.0,put,95147.53,0.3685,0.382,0.37515294,45.0,0.37515294,35694.8756132382,22.8,0,0.6821917808219178,0.45,-0.7434069163975892
BTC-25SEP26-70000-P,2026-01-18 06:52:17.242964,2026-09-25,70000.0,put,95147.53,0.039,0.041,0.04007323,50.31,0.04007323,3812.8688536219,385.6,0,0.6821917808219178,0.5031,-0.17196876752619472
BTC-25DEC26-45000-P,2026-01-18 06:52:17.242971,2026-12-25,45000.0,put,95147.53,0.012,0.0135,0.01286437,58.06,0.01286437,1224.0130305061,666.2,0,0.9315068493150684,0.5806,-0.05300433184415631
BTC-26JUN26-115000-C,2026-01-18 06:52:17.242977,2026-06-26,115000.0,call,95147.53,0.051,0.0525,0.05239678,42.93,0.05239678,4985.4241969534,953.4,0,0.4328767123287671,0.4293,0.29816000179894486
BTC-21JAN26-88000-P,2026-01-18 06:52:17.242983,2026-01-21,88000.0,put,95147.53,0.0006,0.0007,0.00069611,48.99,0.00069611,66.2331471083,3.9,0,0.005479452054794521,0.4899,-0.014944585828380373
BTC-20JAN26-99000-P,2026-01-18 06:52:17.242990,2026-01-20,99000.0,put,95147.53,0.04,0.0425,0.04121735,36.19,0.04121735,3921.7290456455,0.5,0,0.0027397260273972603,0.3619,-0.9815042458763454
BTC-6FEB26-97000-C,2026-01-18 06:52:17.242996,2026-02-06,97000.0,call,95147.53,0.025,0.0255,0.02543826,36.42,0.02543826,2420.3876064978,627.1,0,0.049315068493150684,0.3642,0.42153265078008473
BTC-30JAN26-114000-P,2026-01-18 06:52:17.243002,2026-01-30,114000.0,put,95147.53,0.1955,0.1995,0.19721049,44.27,0.19721049,18764.0910135897,35.5,0,0.030136986301369864,0.44270000000000004,-0.9896587741387676
BTC-18JAN26-96000-C,2026-01-18 06:52:17.243010,2026-01-18,96000.0,call,95147.53,0.0,0.0001,6.7e-07,24.99,6.7e-07,0.0637488451,460.3,0,-0.0027397260273972603,0.24989999999999998,
BTC-30JAN26-70000-C,2026-01-18 06:52:17.243018,2026-01-30,70000.0,call,95147.53,0.2645,0.2665,0.2653963,70.27,0.2653963,25251.802416139,634.3,0,0.030136986301369864,0.7027,0.995017960534454
BTC-27MAR26-100000-P,2026-01-18 06:52:17.243024,2026-03-27,100000.0,put,95147.53,0.0915,0.0925,0.092102,39.47,0.092102,8763.27780806,1630.1,0,0.18356164383561643,0.3947,-0.5830069451258537
BTC-27MAR26-102000-C,2026-01-18 06:52:17.243030,2026-03-27,102000.0,call,95147.53,0.0425,0.0435,0.04315259,39.47,0.04315259,4105.8623516027,591.4,0,0.18356164383561643,0.3947,0.37194962109031204
BTC-26JUN26-320000-P,2026-01-18 06:52:17.243036,2026-06-26,320000.0,put,95147.53,2.276,2.3075,2.29112226,61.1,2.29112226,217994.62396701777,0.0,0,0.4328767123287671,0.611,-0.9975699682147288
BTC-25SEP26-220000-C,2026-01-18 06:52:17.243041,2026-09-25,220000.0,call,95147.53,0.0047,0.006,0.00533164,48.98,0.00533164,507.2923768492,201.2,0,0.6821917808219178,0.48979999999999996,0.030765867890124463
BTC-23JAN26-99000-P,2026-01-18 06:52:17.243047,2026-01-23,99000.0,put,95147.53,0.043,0.045,0.04421787,36.05,0.04421787,4207.2211123611,0.6,0,0.010958904109589041,0.3605,-0.8491661634244301
BTC-30JAN26-108000-P,2026-01-18 06:52:17.243052,2026-01-30,108000.0,put,95147.53,0.133,0.137,0.13502372,39.25,0.13502372,12847.1734494116,29.8,0,0.030136986301369864,0.3925,-0.9660319100899026
BTC-30JAN26-105000-P,2026-01-18 06:52:17.243059,2026-01-30,105000.0,put,95147.53,0.103,0.107,0.10465877,37.02,0.10465877,9958.023458338099,34.7,0,0.030136986301369864,0.37020000000000003,-0.9333266853773058
